scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,n_collisions
diag_s1_fixed,0.6,1,1560,274.3878205128205,21.887570512820513,5.068589743589744,0
diag_s1_fixed,0.6,2,1560,272.5820512820513,20.407391025641026,3.9288461538461537,0
diag_s1_fixed,0.6,3,1560,274.51794871794874,23.636423076923077,6.933333333333334,0
diag_s1_fixed,0.6,4,1560,274.3602564102564,20.248410256410256,3.971794871794872,0
diag_s1_fixed,0.6,5,1560,272.37307692307695,21.04934615384615,4.829487179487179,0
diag_s1_fixed,0.6,6,1560,272.26794871794874,22.73391666666667,5.925,0
diag_s1_fixed,0.6,7,1560,271.3410256410256,20.226089743589743,3.983974358974359,0
diag_s1_fixed,0.6,8,1560,271.96794871794873,20.82729487179487,4.342948717948718,0
diag_s1_fixed,0.6,9,1560,271.2173076923077,20.459865384615384,4.123076923076923,0
diag_s1_fixed,0.6,10,1560,272.0833333333333,22.746641025641026,6.205128205128205,0
diag_s1_fixed,0.8,1,2080,271.5817307692308,21.514197115384615,4.100480769230769,0
diag_s1_fixed,0.8,2,2080,277.06057692307695,23.746995192307693,5.914423076923077,0
diag_s1_fixed,0.8,3,2080,272.7610576923077,23.005105769230767,5.5048076923076925,0
diag_s1_fixed,0.8,4,2080,274.80865384615385,24.180586538461537,6.4639423076923075,0
diag_s1_fixed,0.8,5,2080,272.6072115384615,21.594836538461536,4.2764423076923075,0
diag_s1_fixed,0.8,6,2080,272.8870192307692,21.9320625,4.302884615384615,0
diag_s1_fixed,0.8,7,2080,273.4341346153846,21.900283653846152,4.323076923076923,0
diag_s1_fixed,0.8,8,2080,275.8504807692308,25.899951923076923,8.07451923076923,0
diag_s1_fixed,0.8,9,2080,274.72932692307694,24.168086538461537,6.392307692307693,0
diag_s1_fixed,0.8,10,2080,276.18701923076924,23.750442307692307,6.222596153846154,0
diag_s1_fixed,1.0,1,2600,278.4626923076923,28.01201923076923,8.238076923076923,1
diag_s1_fixed,1.0,2,2600,276.1369230769231,23.24375,4.4265384615384615,0
diag_s1_fixed,1.0,3,2600,276.00961538461536,25.205196153846153,6.375,0
diag_s1_fixed,1.0,4,2600,276.23,25.19462307692308,6.096923076923077,0
diag_s1_fixed,1.0,5,2600,274.94576923076926,23.52262307692308,4.391153846153846,0
diag_s1_fixed,1.0,6,2600,282.3726923076923,32.00482307692308,11.546153846153846,0
diag_s1_fixed,1.0,7,2600,280.3380769230769,29.91900769230769,10.20076923076923,0
diag_s1_fixed,1.0,8,2600,277.62115384615385,26.001057692307693,6.501538461538462,1
diag_s1_fixed,1.0,9,2600,280.42923076923074,29.496438461538464,9.848846153846154,1
diag_s1_fixed,1.0,10,2600,279.16769230769233,27.626861538461537,8.205769230769231,0
diag_s1_fixed,1.2,1,3120,289.2346153846154,37.532346153846156,15.346153846153847,0
diag_s1_fixed,1.2,2,3120,276.34935897435895,25.058445512820516,4.797115384615385,0
diag_s1_fixed,1.2,3,3120,279.08846153846156,28.016996794871794,7.405769230769231,0
diag_s1_fixed,1.2,4,3120,297.4173076923077,47.15193269230769,20.597435897435897,0
diag_s1_fixed,1.2,5,3120,292.0830128205128,41.14225961538461,16.931730769230768,1
diag_s1_fixed,1.2,6,3120,280.3282051282051,29.747407051282053,8.28525641025641,0
diag_s1_fixed,1.2,7,3120,280.0772435897436,27.59214102564103,6.985576923076923,0
diag_s1_fixed,1.2,8,3120,284.1551282051282,32.18792628205128,10.330128205128204,0
diag_s1_fixed,1.2,9,3120,277.2490384615385,26.75540384615385,5.934615384615385,1
diag_s1_fixed,1.2,10,3120,276.8798076923077,24.99184294871795,4.780448717948718,0
diag_s1_fixed,1.4,1,3640,320.23571428571427,69.18363186813187,34.05769230769231,0
diag_s1_fixed,1.4,2,3640,285.9516483516484,33.16001098901099,9.483791208791208,1
diag_s1_fixed,1.4,3,3640,286.29752747252746,35.79978021978022,11.202472527472528,0
diag_s1_fixed,1.4,4,3640,279.28956043956043,28.660887362637364,6.377197802197802,1
diag_s1_fixed,1.4,5,3640,289.55604395604394,38.31704395604396,14.207692307692307,0
diag_s1_fixed,1.4,6,3640,290.87774725274727,40.346340659340655,14.38489010989011,0
diag_s1_fixed,1.4,7,3640,294.3266483516484,43.08666758241758,15.992582417582417,1
diag_s1_fixed,1.4,8,3640,280.8596153846154,31.274346153846153,8.18489010989011,0
diag_s1_fixed,1.4,9,3640,283.5510989010989,32.924186813186815,9.342032967032967,0
diag_s1_fixed,1.4,10,3640,300.3708791208791,47.77462912087912,17.221153846153847,1
