lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions
0.6,1,1560,270.28141025641025,17.800224358974358,0.017948717948717947,33.821999999999996,0
0.6,2,1560,270.0134615384615,17.86798076923077,0.023076923076923078,33.38699999999998,1
0.6,3,1560,268.2128205128205,17.34651282051282,0.01730769230769231,31.101,0
0.6,4,1560,271.6320512820513,17.530102564102563,0.01282051282051282,32.340500000000006,0
0.6,5,1560,268.62371794871797,17.292884615384615,0.023076923076923078,31.052999999999997,0
0.6,6,1560,267.08717948717947,17.565910256410255,0.028205128205128206,32.293499999999995,0
0.6,7,1560,268.46153846153845,17.37421794871795,0.02435897435897436,32.47449999999999,0
0.6,8,1560,268.8205128205128,17.700096153846154,0.016666666666666666,33.1,0
0.6,9,1560,270.48974358974357,19.733955128205128,2.1243589743589744,34.7905,12
0.6,10,1560,266.8448717948718,17.524929487179488,0.03333333333333333,32.503499999999974,0
0.8,1,2080,268.55528846153845,18.50353846153846,0.027884615384615386,34.41599999999999,2
0.8,2,2080,272.0423076923077,18.719197115384617,0.035576923076923075,35.381,3
0.8,3,2080,279.77403846153845,30.02101442307692,10.585576923076923,46.19999999999998,87
0.8,4,2080,269.12307692307695,18.520298076923076,0.025,34.200500000000005,1
0.8,5,2080,269.2028846153846,18.204730769230768,0.02403846153846154,33.4525,0
0.8,6,2080,269.59759615384615,18.656673076923077,0.01875,35.03,1
0.8,7,2080,269.9923076923077,18.46546153846154,0.01875,33.931,1
0.8,8,2080,268.40817307692305,18.461802884615388,0.01971153846153846,33.770500000000006,2
0.8,9,2080,268.91153846153844,18.34245673076923,0.023557692307692307,33.630500000000005,1
0.8,10,2080,271.15432692307695,18.723749999999995,0.03653846153846154,34.082499999999996,2
1.0,1,2600,272.10769230769233,21.668173076923075,1.333846153846154,39.844499999999975,36
1.0,2,2600,274.1103846153846,21.220753846153844,1.3842307692307692,37.81299999999999,23
1.0,3,2600,270.47,19.694253846153845,0.026923076923076925,36.094499999999975,1
1.0,4,2600,270.625,19.59653076923077,0.03192307692307692,35.960499999999996,0
1.0,5,2600,273.23884615384617,21.831699999999998,1.9038461538461537,38.960499999999996,23
1.0,6,2600,270.37038461538464,20.018819230769232,0.03807692307692308,36.61,3
1.0,7,2600,270.15153846153845,19.75629230769231,0.029615384615384616,35.55149999999999,3
1.0,8,2600,271.2346153846154,19.631884615384614,0.03461538461538462,36.351499999999994,1
1.0,9,2600,273.55192307692306,22.622773076923078,2.523076923076923,39.51049999999999,57
1.0,10,2600,275.7203846153846,24.180503846153844,3.8265384615384614,42.90699999999996,65
1.2,1,3120,273.2705128205128,21.58251923076923,0.06987179487179487,41.341,8
1.2,2,3120,275.34935897435895,24.075435897435902,2.4201923076923078,44.52199999999999,44
1.2,3,3120,274.35032051282053,23.293384615384614,2.058653846153846,41.51049999999999,58
1.2,4,3120,273.90544871794873,23.634538461538465,2.2423076923076923,43.64699999999996,40
1.2,5,3120,276.61410256410255,25.697458333333337,4.187820512820513,46.51649999999986,127
1.2,6,3120,274.6974358974359,24.120330128205126,2.601923076923077,42.97149999999999,63
1.2,7,3120,273.5849358974359,21.103025641025642,0.03717948717948718,38.93199999999999,4
1.2,8,3120,273.09166666666664,21.120836538461543,0.047435897435897434,40.41299999999998,3
1.2,9,3120,275.34391025641025,24.852477564102568,2.958653846153846,45.950499999999835,69
1.2,10,3120,276.66378205128206,24.78270192307692,3.542307692307692,44.072499999999934,47
1.4,1,3640,277.3884615384615,26.350442307692305,2.8774725274725275,49.24649999999997,136
1.4,2,3640,285.96895604395604,33.187315934065936,9.511813186813187,58.22199999999999,134
1.4,3,3640,275.4324175824176,24.941192307692308,2.1307692307692307,46.64449999999997,61
1.4,4,3640,277.4491758241758,26.823848901098902,3.191758241758242,52.18449999999998,141
1.4,5,3640,273.54505494505497,22.303763736263736,0.046153846153846156,42.03699999999996,6
1.4,6,3640,276.33846153846156,25.814219780219783,3.03021978021978,47.41849999999995,79
1.4,7,3640,276.9401098901099,25.710848901098903,2.701923076923077,48.54249999999998,116
1.4,8,3640,274.3884615384615,24.82090934065934,1.9167582417582418,46.634499999999974,75
1.4,9,3640,288.00274725274727,37.381543956043956,13.129395604395604,69.98349999999927,193
1.4,10,3640,278.42252747252746,25.839942307692308,2.3431318681318682,50.03449999999997,74
