scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s1_actuated,0.6,1,1560,276.2429487179487,23.763634615384618,3.4224358974358973,53.284499999999994,82,25.55
s1_actuated,0.6,2,1560,276.08397435897433,23.934621794871795,3.4583333333333335,54.812,86,24.38
s1_actuated,0.6,3,1560,274.3173076923077,23.45803846153846,3.4288461538461537,52.34849999999995,73,27.77
s1_actuated,0.6,4,1560,278.60705128205126,24.501961538461536,4.366666666666666,53.068,82,24.32
s1_actuated,0.6,5,1560,274.9173076923077,23.58619230769231,3.553205128205128,52.068999999999996,78,26.45
s1_actuated,0.6,6,1560,285.94615384615383,36.420647435897436,15.35576923076923,74.43100000000001,178,58.38
s1_actuated,0.6,7,1560,277.2551282051282,26.15134615384616,5.767948717948718,56.705999999999996,93,25.83
s1_actuated,0.6,8,1560,279.09166666666664,27.95378846153846,7.281410256410257,60.55349999999999,110,26.29
s1_actuated,0.6,9,1560,274.70448717948716,23.947358974358977,3.7493589743589744,52.12799999999999,97,31.85
s1_actuated,0.6,10,1560,275.97564102564104,26.645000000000003,6.035256410256411,57.17999999999997,101,39.21
s1_actuated,0.8,1,2080,275.99807692307695,25.932,4.679326923076923,59.741999999999976,163,268.09
s1_actuated,0.8,2,2080,278.5692307692308,25.24745673076923,3.9735576923076925,57.33849999999999,157,25.75
s1_actuated,0.8,3,2080,275.3639423076923,25.611134615384618,4.149519230769231,58.700500000000005,166,33.92
s1_actuated,0.8,4,2080,277.87211538461537,27.260716346153842,5.698076923076923,57.905499999999996,149,29.78
s1_actuated,0.8,5,2080,276.43028846153845,25.427423076923077,4.201923076923077,59.1035,170,44.5
s1_actuated,0.8,6,2080,276.7322115384615,25.78610096153846,4.1990384615384615,58.7065,192,30.55
s1_actuated,0.8,7,2080,280.1139423076923,28.5806875,6.820673076923077,63.55699999999999,195,58.78
s1_actuated,0.8,8,2080,275.6173076923077,25.665985576923077,4.261057692307692,58.8155,171,29.45
s1_actuated,0.8,9,2080,278.87259615384613,28.293552884615384,6.479807692307692,63.272,197,48.85
s1_actuated,0.8,10,2080,280.30721153846156,27.865173076923075,6.0100961538461535,61.73849999999999,191,30.75
s1_actuated,1.0,1,2600,284.8557692307692,34.406261538461536,10.403846153846153,78.6994999999999,378,74.89
s1_actuated,1.0,2,2600,279.8519230769231,26.96291923076923,4.3234615384615385,61.672499999999985,249,36.25
s1_actuated,1.0,3,2600,279.3,28.509038461538463,5.523461538461539,62.121999999999936,264,31.05
s1_actuated,1.0,4,2600,278.68192307692306,27.660234615384617,4.729615384615385,64.08049999999993,296,73.25
s1_actuated,1.0,5,2600,278.71653846153845,27.30761923076923,4.568461538461539,61.65349999999998,270,38.14
s1_actuated,1.0,6,2600,279.24,28.88104230769231,5.699230769230769,63.9,292,51.65
s1_actuated,1.0,7,2600,281.1907692307692,30.791526923076923,7.594230769230769,68.41549999999997,326,74.88
s1_actuated,1.0,8,2600,280.5746153846154,28.96896153846154,5.805,65.24099999999994,248,38.04
s1_actuated,1.0,9,2600,278.29884615384617,27.368096153846157,4.686538461538461,64.88299999999994,271,67.07
s1_actuated,1.0,10,2600,283.5673076923077,32.02324615384615,8.501153846153846,76.99849999999991,365,56.48
s1_actuated,1.2,1,3120,286.2,34.52361538461538,9.288461538461538,78.2105,455,74.93
s1_actuated,1.2,2,3120,285.07115384615383,33.78564102564103,8.87948717948718,72.7015,525,318.24
s1_actuated,1.2,3,3120,282.1041666666667,31.034128205128205,6.958974358974359,69.62,397,75.93
s1_actuated,1.2,4,3120,291.16923076923075,40.9078108974359,14.981730769230769,118.03199999999993,562,165.94
s1_actuated,1.2,5,3120,282.46378205128207,31.52697115384615,7.108333333333333,71.6405,420,74.55
s1_actuated,1.2,6,3120,282.6939102564103,32.1015032051282,7.6275641025641026,71.88199999999999,445,75.23
s1_actuated,1.2,7,3120,284.95416666666665,32.47879807692308,7.906410256410257,72.5964999999999,404,59.29
s1_actuated,1.2,8,3120,303.14358974358976,51.18851923076923,24.430128205128206,219.7314999999998,856,377.02
s1_actuated,1.2,9,3120,290.0358974358974,39.56202564102565,14.231089743589743,114.72449999999986,516,72.23
s1_actuated,1.2,10,3120,280.4176282051282,28.52419551282051,4.47948717948718,64.51349999999998,373,74.69
s1_actuated,1.4,1,3640,290.74478021978024,39.69439010989011,12.175274725274726,122.27449999999997,716,164.39
s1_actuated,1.4,2,3640,322.82005494505495,70.04289560439561,36.56126373626373,366.5204999999999,1387,416.63
s1_actuated,1.4,3,3640,284.6357142857143,34.13664010989011,7.974450549450549,80.74299999999994,597,130.28
s1_actuated,1.4,4,3640,289.52472527472526,38.90514835164835,11.94945054945055,88.89099999999972,611,173.42
s1_actuated,1.4,5,3640,285.8403846153846,34.60960439560439,8.553571428571429,83.32649999999995,610,112.2
s1_actuated,1.4,6,3640,280.60137362637363,30.06370879120879,4.631593406593407,67.90050000000001,445,74.91
s1_actuated,1.4,7,3640,286.42884615384617,35.196368131868134,8.733241758241759,80.67399999999998,610,74.94
s1_actuated,1.4,8,3640,286.02637362637364,36.44580494505494,9.445054945054945,87.52399999999993,687,74.93
s1_actuated,1.4,9,3640,285.8313186813187,35.22046978021978,8.513461538461538,78.44849999999991,644,74.78
s1_actuated,1.4,10,3640,293.8782967032967,41.2961923076923,13.64587912087912,109.46349999999977,742,158.82
