scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
s1_fixed,0.6,mean_duration_s,277.05980769230774,275.84882092724513,278.27079445737036,10
s1_fixed,0.6,mean_timeloss_s,25.782687179487176,24.33280126082777,27.23257309814658,10
s1_fixed,0.6,mean_waiting_s,5.64775641025641,4.328009616591235,6.967503203921586,10
s1_fixed,0.6,p95_timeloss_s,57.88259999999999,55.71564578503188,60.0495542149681,10
s1_fixed,0.6,n_collisions,95.1,83.03304121243269,107.1669587875673,10
s1_fixed,0.6,max_queue_length_m,29.445,26.062012641912922,32.82798735808708,10
s1_fixed,0.8,mean_duration_s,278.1460096153846,276.4437980829226,279.84822114784663,10
s1_fixed,0.8,mean_timeloss_s,27.12738701923077,25.86390983951389,28.39086419894765,10
s1_fixed,0.8,mean_waiting_s,5.885,4.75791774516742,7.012082254832579,10
s1_fixed,0.8,p95_timeloss_s,59.9542,57.627778201956914,62.280621798043086,10
s1_fixed,0.8,n_collisions,164.3,148.03604963548807,180.56395036451195,10
s1_fixed,0.8,max_queue_length_m,40.149,33.972071394943825,46.32592860505618,10
s1_fixed,1.0,mean_duration_s,287.48157692307694,276.5324364154566,298.4307174306973,10
s1_fixed,1.0,mean_timeloss_s,36.34620384615385,25.268924457607696,47.4234832347,10
s1_fixed,1.0,mean_waiting_s,12.826692307692309,3.0858117924572994,22.567572822927318,10
s1_fixed,1.0,p95_timeloss_s,113.65479999999941,24.945955100900477,202.36364489909835,10
s1_fixed,1.0,n_collisions,380.2,200.70169763186416,559.6983023681358,10
s1_fixed,1.0,max_queue_length_m,61.58299999999999,36.043873003730816,87.12212699626917,10
s1_fixed,1.2,mean_duration_s,303.1786440222876,288.3284910425878,318.02879700198736,10
s1_fixed,1.2,mean_timeloss_s,51.70583134092762,36.730406538867456,66.68125614298778,10
s1_fixed,1.2,mean_waiting_s,24.37848899577014,12.114322905032648,36.64265508650763,10
s1_fixed,1.2,p95_timeloss_s,210.32099999999917,93.60983957929766,327.0321604207007,10
s1_fixed,1.2,n_collisions,855.0,477.7253523967468,1232.2746476032532,10
s1_fixed,1.2,max_queue_length_m,194.106,86.34683638879082,301.86516361120914,10
s1_fixed,1.4,mean_duration_s,314.7630433877334,302.4929391131409,327.03314766232586,10
s1_fixed,1.4,mean_timeloss_s,63.57006110965515,51.056882276591544,76.08323994271876,10
s1_fixed,1.4,mean_waiting_s,31.169883528640213,21.7190972666832,40.620669790597226,10
s1_fixed,1.4,p95_timeloss_s,309.91784999999976,211.3154123701432,408.5202876298563,10
s1_fixed,1.4,n_collisions,1609.7,1122.9835056681945,2096.4164943318056,10
s1_fixed,1.4,max_queue_length_m,303.65999999999997,197.7661604320781,409.55383956792184,10
