scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s1_fixed,0.6,1,1560,278.40576923076924,25.911519230769233,5.3724358974358974,57.335499999999996,103,29.9
s1_fixed,0.6,2,1560,278.6807692307692,26.527692307692305,5.765384615384615,57.95349999999998,106,28.04
s1_fixed,0.6,3,1560,275.275,24.412987179487182,4.266025641025641,54.4325,80,28.02
s1_fixed,0.6,4,1560,278.45,24.347596153846155,3.958974358974359,53.8415,76,36.98
s1_fixed,0.6,5,1560,275.5211538461538,24.189352564102563,4.256410256410256,53.732499999999995,71,27.94
s1_fixed,0.6,6,1560,275.6192307692308,26.08825,5.573717948717949,57.44499999999999,108,29.22
s1_fixed,0.6,7,1560,275.2307692307692,24.122916666666665,4.003205128205129,53.894999999999996,89,27.85
s1_fixed,0.6,8,1560,276.13461538461536,24.997153846153843,4.417307692307692,55.102,101,25.98
s1_fixed,0.6,9,1560,274.7153846153846,23.95195512820513,3.8346153846153848,54.673,78,29.44
s1_fixed,0.6,10,1560,273.8903846153846,24.571846153846156,4.212820512820513,55.0955,92,39.65
s1_fixed,0.8,1,2080,279.3014423076923,29.25606730769231,7.459615384615384,60.001,179,29.52
s1_fixed,0.8,2,2080,279.7658653846154,26.440341346153847,4.665384615384616,58.891,168,70.07
s1_fixed,0.8,3,2080,278.4317307692308,28.658514423076923,7.060096153846154,62.061,161,35.28
s1_fixed,0.8,4,2080,278.68221153846156,28.074375,6.412980769230769,59.4415,158,38.36
s1_fixed,0.8,5,2080,277.15096153846156,26.135331730769234,5.1134615384615385,56.36549999999999,159,39.03
s1_fixed,0.8,6,2080,279.925,28.971437499999997,7.036538461538462,61.1315,204,37.49
s1_fixed,0.8,7,2080,277.07403846153846,25.530750000000005,4.116346153846154,55.5025,164,25.7
s1_fixed,0.8,8,2080,277.0802884615385,27.12699519230769,5.5129807692307695,57.36,175,36.34
s1_fixed,0.8,9,2080,279.3245192307692,28.756456730769234,7.013942307692307,61.2715,173,40.99
s1_fixed,0.8,10,2080,280.1956730769231,27.762447115384614,5.9557692307692305,61.22449999999999,168,35.11
s1_fixed,1.0,1,2600,308.55846153846153,58.114376923076925,31.451153846153847,244.7369999999999,768,214.12
s1_fixed,1.0,2,2600,281.43538461538463,28.54712307692307,5.634615384615385,59.34299999999999,246,36.42
s1_fixed,1.0,3,2600,279.35692307692307,28.57655,5.9157692307692304,59.98049999999999,241,42.01
s1_fixed,1.0,4,2600,278.19576923076926,27.164899999999996,4.640769230769231,60.61549999999997,241,46.44
s1_fixed,1.0,5,2600,282.2923076923077,30.897753846153847,7.593846153846154,62.711499999999994,286,45.32
s1_fixed,1.0,6,2600,282.09423076923076,31.735588461538462,8.156153846153845,65.49299999999998,298,74.86
s1_fixed,1.0,7,2600,278.185,27.792046153846158,4.848461538461539,60.76049999999999,241,42.77
s1_fixed,1.0,8,2600,282.24807692307695,30.64516538461538,7.5442307692307695,63.33449999999998,294,32.5
s1_fixed,1.0,9,2600,288.8742307692308,37.96274230769231,14.473846153846154,74.40999999999983,402,73.69
s1_fixed,1.0,10,2600,278.8892307692308,27.35453076923077,4.524230769230769,58.70749999999996,217,32.73
s1_fixed,1.2,1,3120,281.1224358974359,29.43418269230769,4.9028846153846155,64.13149999999999,345,48.45
s1_fixed,1.2,2,3120,293.64134615384614,42.37415384615384,16.60320512820513,89.50549999999974,626,74.92
s1_fixed,1.2,3,3120,281.0964743589744,30.033580128205124,6.075,64.04449999999999,358,46.64
s1_fixed,1.2,4,3108,325.6161518661519,74.8861036036036,42.9993564993565,461.555499999999,1404,416.78
s1_fixed,1.2,5,3120,291.7198717948718,40.79208653846154,15.884294871794872,122.33749999999908,530,72.81
s1_fixed,1.2,6,3120,286.02467948717947,35.45383333333333,9.781410256410256,85.30199999999994,556,98.3
s1_fixed,1.2,7,3120,282.0900641025641,29.609179487179485,5.310897435897436,64.8705,362,42.59
s1_fixed,1.2,8,3120,289.49807692307695,37.51472115384615,11.909615384615385,103.142,523,172.66
s1_fixed,1.2,9,3120,288.3060897435897,37.816342948717946,12.091025641025642,102.07199999999993,523,74.92
s1_fixed,1.2,10,3120,283.67019230769233,31.784035256410256,7.246474358974359,67.5015,356,48.72
s1_fixed,1.4,1,3640,310.61043956043954,59.56504395604396,29.810164835164834,257.44649999999984,1235,98.14
s1_fixed,1.4,2,3597,334.3030303030303,81.13818459827634,49.154851264943005,397.5939999999987,1651,416.77
s1_fixed,1.4,3,3640,287.94835164835166,37.45364560439561,10.66978021978022,78.94,634,76.26
s1_fixed,1.4,4,3640,290.80357142857144,40.17121428571429,12.123351648351647,125.0205,894,139.92
s1_fixed,1.4,5,3640,293.506043956044,42.26454670329671,15.345604395604395,100.95349999999992,812,199.04
s1_fixed,1.4,6,3632,318.0803964757709,67.26235407488986,36.41327092511013,291.1135,1439,414.04
s1_fixed,1.4,7,3640,319.64972527472526,68.416,31.610714285714284,305.8999999999998,2198,416.66
s1_fixed,1.4,8,3640,288.71620879120877,39.13727747252747,11.392582417582418,97.19299999999977,798,209.13
s1_fixed,1.4,9,3588,342.4604236343367,91.34951783723523,55.07385730211817,366.4524999999997,2333,424.23
s1_fixed,1.4,10,3640,285.42884615384617,32.83732967032967,6.573901098901099,75.61349999999999,569,72.16
