scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s2_d150,0.6,1,1560,291.1192307692308,19.70798717948718,0.07371794871794872,36.202,0,28.43
s2_d150,0.6,2,1560,292.66602564102567,19.672455128205126,0.04871794871794872,34.950500000000005,1,15.53
s2_d150,0.6,3,1560,288.87628205128203,18.96967307692308,0.06794871794871794,33.90899999999999,0,23.7
s2_d150,0.6,4,1560,290.72628205128206,19.1709358974359,0.0532051282051282,34.583,4,15.97
s2_d150,0.6,5,1560,292.29487179487177,19.10767948717949,0.03461538461538462,33.653499999999994,1,18.28
s2_d150,0.6,6,1560,291.05320512820515,19.53301923076923,0.08205128205128205,35.613,3,26.7
s2_d150,0.6,7,1560,290.66346153846155,19.009551282051284,0.0391025641025641,33.821,1,23.54
s2_d150,0.6,8,1560,291.2096153846154,19.73883974358974,0.052564102564102565,36.3455,0,16.45
s2_d150,0.6,9,1560,290.62371794871797,19.32128846153846,0.0391025641025641,35.443,3,21.02
s2_d150,0.6,10,1560,291.02371794871794,19.468416666666666,0.06217948717948718,36.471999999999994,6,29.29
s2_d150,0.8,1,2080,293.16490384615383,20.853399038461536,0.08076923076923077,37.5255,5,28.11
s2_d150,0.8,2,2080,296.2870192307692,21.422774038461537,0.06971153846153846,39.8205,1,29.03
s2_d150,0.8,3,2080,292.0548076923077,20.68808653846154,0.09278846153846154,37.611,2,29.86
s2_d150,0.8,4,2080,292.23846153846154,20.764028846153845,0.08317307692307692,37.805499999999995,4,18.95
s2_d150,0.8,5,2080,291.84663461538463,20.746971153846154,0.10144230769230769,37.87849999999999,3,21.85
s2_d150,0.8,6,2080,294.0254807692308,21.63709134615385,0.13942307692307693,39.138999999999996,11,29.28
s2_d150,0.8,7,2080,292.4596153846154,20.70498076923077,0.08990384615384615,37.88,5,22.6
s2_d150,0.8,8,2080,292.4697115384615,20.893177884615383,0.09134615384615384,38.524,2,21.86
s2_d150,0.8,9,2080,293.52932692307695,20.960124999999998,0.09230769230769231,37.9535,5,28.22
s2_d150,0.8,10,2080,292.0264423076923,20.680259615384617,0.08221153846153846,37.902499999999996,1,26.29
s2_d150,1.0,1,2600,294.10615384615386,22.829273076923077,0.1373076923076923,43.37699999999996,5,21.43
s2_d150,1.0,2,2600,296.3057692307692,23.19895,0.15153846153846154,43.87149999999999,13,64.26
s2_d150,1.0,3,2600,293.8246153846154,22.639226923076922,0.18769230769230769,41.55549999999997,18,27.72
s2_d150,1.0,4,2600,294.2853846153846,22.52290384615385,0.17,41.681,9,24.89
s2_d150,1.0,5,2600,295.1996153846154,22.447576923076923,0.12884615384615383,41.07349999999998,11,26.93
s2_d150,1.0,6,2600,294.15653846153845,23.04915769230769,0.115,43.15699999999996,7,32.94
s2_d150,1.0,7,2600,295.51,22.751484615384616,0.14615384615384616,41.921,7,53.6
s2_d150,1.0,8,2600,294.88615384615383,23.075419230769228,0.155,43.731999999999985,8,28.55
s2_d150,1.0,9,2600,294.745,22.754796153846154,0.16038461538461538,41.961499999999994,9,26.55
s2_d150,1.0,10,2600,295.30884615384616,23.007023076923076,0.2173076923076923,42.94349999999998,15,27.81
s2_d150,1.2,1,3120,297.12852564102565,25.021878205128207,0.26955128205128204,49.431,34,28.91
s2_d150,1.2,2,3120,297.9371794871795,24.932339743589743,0.3541666666666667,48.860499999999995,34,25.95
s2_d150,1.2,3,3120,295.8826923076923,24.66537820512821,0.2564102564102564,46.65149999999999,25,33.11
s2_d150,1.2,4,3120,296.9945512820513,24.844432692307695,0.37243589743589745,48.701,46,71.97
s2_d150,1.2,5,3120,297.94903846153846,25.13853846153846,0.2125,48.37049999999999,14,26.71
s2_d150,1.2,6,3120,297.2903846153846,25.412923076923075,0.33205128205128204,50.883499999999984,30,30.08
s2_d150,1.2,7,3120,296.6108974358974,24.61461538461538,0.3471153846153846,47.12,33,27.4
s2_d150,1.2,8,3120,298.1150641025641,25.60696153846154,0.33942307692307694,51.481999999999985,25,26.75
s2_d150,1.2,9,3120,296.62948717948717,24.794948717948714,0.32532051282051283,47.542999999999985,43,27.35
s2_d150,1.2,10,3120,295.98878205128204,24.767150641025644,0.3096153846153846,47.260999999999996,31,27.38
s2_d150,1.4,1,3640,299.207967032967,27.08808791208791,0.4552197802197802,52.02499999999998,42,29.08
s2_d150,1.4,2,3640,300.82445054945055,27.264016483516485,0.49835164835164836,53.37149999999999,50,34.67
s2_d150,1.4,3,3640,298.7925824175824,27.050214285714286,0.489010989010989,53.228499999999954,54,42.08
s2_d150,1.4,4,3640,298.20686813186813,26.85408241758242,0.41620879120879123,52.271499999999996,44,255.83
s2_d150,1.4,5,3640,298.7239010989011,27.39011263736264,0.6706043956043956,53.20199999999999,54,55.2
s2_d150,1.4,6,3640,298.86538461538464,27.727384615384615,0.47445054945054943,56.42649999999997,64,51.42
s2_d150,1.4,7,3640,299.1096153846154,27.198024725274724,0.46565934065934067,53.431,46,61.87
s2_d150,1.4,8,3640,301.05192307692306,27.810752747252746,0.4631868131868132,56.30499999999997,48,58.62
s2_d150,1.4,9,3640,299.96565934065933,27.18136813186813,0.5304945054945055,53.890499999999996,45,34.0
s2_d150,1.4,10,3640,298.6203296703297,27.099453296703295,0.4521978021978022,54.85199999999999,50,51.64
