scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s2s4,0.6,1,1560,291.26666666666665,19.227794871794874,0.0391025641025641,35.85,4,23.71
s2s4,0.6,2,1560,292.8410256410256,19.211410256410257,0.08782051282051281,34.400999999999996,0,21.49
s2s4,0.6,3,1560,288.9275641025641,18.44173717948718,0.04038461538461539,33.6505,0,10.13
s2s4,0.6,4,1560,291.049358974359,18.864666666666665,0.029487179487179487,34.331999999999994,1,16.49
s2s4,0.6,5,1560,292.4224358974359,18.693108974358974,0.03974358974358974,33.3715,1,20.74
s2s4,0.6,6,1560,291.1044871794872,18.921448717948717,0.03333333333333333,34.724,0,22.59
s2s4,0.6,7,1560,290.91346153846155,18.623192307692307,0.03653846153846154,33.7725,0,16.82
s2s4,0.6,8,1560,291.52564102564105,19.359,0.035897435897435895,35.6105,2,23.23
s2s4,0.6,9,1560,290.51858974358976,18.698442307692307,0.03205128205128205,34.285999999999994,1,12.92
s2s4,0.6,10,1560,291.13461538461536,18.972807692307693,0.03205128205128205,34.807999999999986,0,24.27
s2s4,0.8,1,2080,293.30288461538464,20.504548076923076,0.05384615384615385,37.836499999999994,4,27.01
s2s4,0.8,2,2080,295.7009615384615,20.582884615384614,0.05144230769230769,38.0265,1,23.67
s2s4,0.8,3,2080,291.8951923076923,19.975028846153844,0.051923076923076926,36.751999999999995,1,20.7
s2s4,0.8,4,2080,291.8985576923077,20.015302884615384,0.046153846153846156,36.3705,1,21.22
s2s4,0.8,5,2080,291.4625,19.895490384615385,0.05048076923076923,36.58599999999999,0,21.0
s2s4,0.8,6,2080,293.9019230769231,21.013105769230766,0.05384615384615385,38.26449999999999,3,22.39
s2s4,0.8,7,2080,292.8764423076923,20.337302884615383,0.05576923076923077,37.311,1,24.39
s2s4,0.8,8,2080,293.10336538461536,20.61890384615384,0.051923076923076926,38.39,0,24.35
s2s4,0.8,9,2080,293.4144230769231,20.384038461538463,0.05048076923076923,38.381,1,22.19
s2s4,0.8,10,2080,292.3485576923077,20.471326923076923,0.06009615384615385,38.221,2,22.19
s2s4,1.0,1,2600,293.9519230769231,22.06165384615385,0.06153846153846154,41.72449999999998,2,33.0
s2s4,1.0,2,2600,296.4676923076923,22.744165384615386,0.07538461538461538,42.47249999999998,3,44.91
s2s4,1.0,3,2600,293.59615384615387,21.727192307692306,0.08923076923076922,39.851,3,25.06
s2s4,1.0,4,2600,294.1284615384615,21.83781923076923,0.10115384615384615,41.650499999999994,3,19.01
s2s4,1.0,5,2600,295.26307692307694,21.969749999999998,0.10423076923076922,40.69049999999999,6,21.07
s2s4,1.0,6,2600,294.44307692307694,22.774923076923077,0.07730769230769231,43.057499999999955,2,23.82
s2s4,1.0,7,2600,295.7780769230769,22.402684615384615,0.07538461538461538,42.04,4,56.84
s2s4,1.0,8,2600,294.56038461538463,22.33783846153846,0.085,42.87149999999999,4,25.0
s2s4,1.0,9,2600,294.7719230769231,22.207161538461538,0.09038461538461538,41.99,2,24.97
s2s4,1.0,10,2600,295.5388461538462,22.533338461538463,0.06807692307692308,42.790499999999994,4,21.39
s2s4,1.2,1,3120,296.8483974358974,24.47839743589744,0.1576923076923077,47.91299999999998,14,21.61
s2s4,1.2,2,3120,297.71858974358975,24.126339743589742,0.1907051282051282,46.870999999999995,9,26.88
s2s4,1.2,3,3120,295.6666666666667,23.83225,0.2387820512820513,45.48849999999995,18,46.11
s2s4,1.2,4,3120,296.68942307692305,23.96607051282051,0.14358974358974358,47.33149999999999,9,22.4
s2s4,1.2,5,3120,298.0477564102564,24.635435897435897,0.14583333333333334,48.21,3,32.32
s2s4,1.2,6,3120,296.88621794871796,24.402176282051286,0.14326923076923076,46.65349999999998,7,24.08
s2s4,1.2,7,3120,296.74070512820515,24.095852564102564,0.18846153846153846,46.43249999999998,6,21.72
s2s4,1.2,8,3120,298.12660256410254,24.845641025641022,0.18814102564102564,50.952499999999986,13,30.55
s2s4,1.2,9,3120,297.17147435897436,24.661339743589746,0.16121794871794873,47.887999999999955,10,22.52
s2s4,1.2,10,3120,295.9935897435897,24.182310897435897,0.12083333333333333,46.36449999999998,5,55.45
s2s4,1.4,1,3640,298.8346153846154,26.138576923076922,0.25137362637362637,50.181,14,22.45
s2s4,1.4,2,3640,300.9,26.761027472527473,0.3148351648351648,54.080999999999996,20,23.14
s2s4,1.4,3,3640,298.41456043956043,26.007997252747252,0.2837912087912088,50.82549999999997,31,32.37
s2s4,1.4,4,3640,298.14532967032966,26.19621703296703,0.25274725274725274,52.422999999999924,17,22.22
s2s4,1.4,5,3640,298.3552197802198,26.32226373626374,0.2978021978021978,51.72,17,26.88
s2s4,1.4,6,3640,298.15,26.448532967032968,0.2304945054945055,53.80499999999997,8,73.29
s2s4,1.4,7,3640,299.2478021978022,26.709961538461542,0.23736263736263735,53.130999999999936,20,74.47
s2s4,1.4,8,3640,300.8027472527473,26.969934065934066,0.23076923076923078,54.51049999999999,16,57.66
s2s4,1.4,9,3640,299.9730769230769,26.439423076923077,0.23598901098901098,52.00199999999999,18,54.94
s2s4,1.4,10,3640,298.17994505494505,26.2014010989011,0.2230769230769231,51.881499999999996,11,22.57
