scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s4,0.6,1,1560,270.02564102564105,17.539608974358973,0.010256410256410256,32.86699999999999,0,22.54
s4,0.6,2,1560,270.0230769230769,17.875839743589744,0.029487179487179487,32.72949999999999,1,13.1
s4,0.6,3,1560,268.18589743589746,17.320865384615388,0.022435897435897436,31.2105,1,12.7
s4,0.6,4,1560,271.66153846153844,17.56948076923077,0.014743589743589743,32.784499999999994,0,10.43
s4,0.6,5,1560,268.5878205128205,17.26329487179487,0.03076923076923077,30.955499999999994,1,13.96
s4,0.6,6,1560,269.4173076923077,19.885826923076923,2.348076923076923,32.3715,15,26.41
s4,0.6,7,1560,270.5852564102564,19.490993589743592,2.1493589743589743,33.0335,14,25.63
s4,0.6,8,1560,268.64358974358976,17.521974358974358,0.03076923076923077,32.428999999999995,0,18.22
s4,0.6,9,1560,268.2442307692308,17.47975641025641,0.025,32.37849999999999,2,12.05
s4,0.6,10,1560,269.14230769230767,19.825769230769232,2.292948717948718,33.3205,20,25.48
s4,0.8,1,2080,268.5245192307692,18.460923076923077,0.022115384615384617,34.279999999999994,1,262.32
s4,0.8,2,2080,275.4326923076923,22.108254807692308,3.1850961538461537,37.823499999999996,30,26.08
s4,0.8,3,2080,271.0673076923077,21.313990384615387,2.58125,36.8535,35,25.77
s4,0.8,4,2080,269.1841346153846,18.570014423076923,0.025961538461538463,33.9215,1,39.31
s4,0.8,5,2080,269.23942307692306,18.232192307692312,0.02980769230769231,32.94599999999999,4,14.04
s4,0.8,6,2080,269.43942307692305,18.494634615384612,0.016346153846153847,34.4215,2,20.71
s4,0.8,7,2080,269.9807692307692,18.443370192307693,0.02403846153846154,33.64,3,14.47
s4,0.8,8,2080,270.65913461538463,20.706961538461538,2.2394230769230767,35.721,20,27.08
s4,0.8,9,2080,268.78413461538463,18.215110576923077,0.023557692307692307,33.3205,2,17.1
s4,0.8,10,2080,270.9865384615385,18.547778846153847,0.026923076923076925,34.0325,1,19.65
s4,1.0,1,2600,272.3526923076923,21.90765769230769,1.6153846153846154,39.90249999999998,33,26.35
s4,1.0,2,2600,273.82115384615383,20.928457692307692,1.2634615384615384,37.203499999999984,12,25.28
s4,1.0,3,2600,270.28423076923076,19.505565384615384,0.04,35.440999999999995,5,31.56
s4,1.0,4,2600,270.58076923076925,19.55026923076923,0.021538461538461538,36.29149999999999,5,25.14
s4,1.0,5,2600,273.85,22.429434615384615,2.601153846153846,38.0605,47,74.81
s4,1.0,6,2600,270.255,19.899811538461538,0.03307692307692308,36.97,3,16.1
s4,1.0,7,2600,270.05423076923074,19.659357692307694,0.033846153846153845,35.65199999999999,4,15.29
s4,1.0,8,2600,271.5203846153846,19.920480769230767,0.031538461538461536,36.860499999999995,4,26.35
s4,1.0,9,2600,273.2746153846154,22.351615384615382,2.480769230769231,38.85349999999998,26,74.69
s4,1.0,10,2600,275.8773076923077,24.344846153846156,4.167692307692308,41.21399999999998,72,74.49
s4,1.2,1,3120,276.7705128205128,25.080910256410256,3.257051282051282,46.48149999999999,78,72.52
s4,1.2,2,3120,272.2977564102564,21.023108974358976,0.05,39.239999999999945,2,14.9
s4,1.2,3,3120,275.3775641025641,24.316032051282054,3.4339743589743588,39.63899999999995,42,27.14
s4,1.2,4,3120,274.56698717948717,24.302016025641027,2.805448717948718,43.49849999999996,88,74.9
s4,1.2,5,3120,275.1185897435897,24.18144230769231,2.8900641025641027,43.09649999999997,85,74.93
s4,1.2,6,3120,271.6301282051282,21.042227564102564,0.04006410256410257,39.530499999999996,4,62.7
s4,1.2,7,3120,274.9125,22.427862179487178,1.4881410256410257,39.40249999999998,34,26.23
s4,1.2,8,3120,273.12628205128203,21.15409294871795,0.046153846153846156,40.300999999999995,4,41.58
s4,1.2,9,3120,277.6458333333333,27.159483974358974,5.177884615384615,54.62349999999998,130,69.5
s4,1.2,10,3120,275.15128205128207,23.26591987179487,1.8102564102564103,42.79199999999999,42,43.46
s4,1.4,1,3640,287.10274725274724,36.05083241758242,10.946428571428571,144.1484999999994,374,205.57
s4,1.4,2,3640,278.2271978021978,25.443005494505492,2.398076923076923,46.707999999999956,79,78.06
s4,1.4,3,3640,274.9788461538462,24.47665659340659,1.8821428571428571,44.792999999999985,49,26.35
s4,1.4,4,3640,281.3115384615385,30.680483516483513,6.9532967032967035,83.08749999999975,211,86.18
s4,1.4,5,3640,279.19395604395606,27.950947802197806,4.770879120879121,53.44599999999996,149,169.28
s4,1.4,6,3640,288.91153846153844,38.38375274725274,13.469780219780219,181.13949999999988,359,263.78
s4,1.4,7,3640,276.34120879120877,25.10925274725275,2.5519230769230767,44.981999999999985,77,42.98
s4,1.4,8,3640,274.9532967032967,25.37564010989011,2.629945054945055,47.541,108,95.32
s4,1.4,9,3640,278.44532967032967,27.819744505494505,4.9096153846153845,54.258499999999955,141,98.25
s4,1.4,10,3640,281.9120879120879,29.325760989010988,5.841758241758241,64.8105,178,79.99
