scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s5_metering,0.6,1,1560,273.23205128205126,20.386506410256413,0.2858974358974359,40.336499999999994,7,32.2
s5_metering,0.6,2,1560,274.90576923076924,20.464442307692305,0.24166666666666667,39.202,5,22.89
s5_metering,0.6,3,1560,272.62628205128203,22.087346153846152,2.1653846153846152,41.1365,14,33.17
s5_metering,0.6,4,1560,272.4089743589744,20.495429487179486,0.33076923076923076,40.3825,8,24.96
s5_metering,0.6,5,1560,270.1775641025641,19.873794871794875,0.27307692307692305,37.311,6,20.53
s5_metering,0.6,6,1560,275.76666666666665,22.241903846153843,1.9038461538461537,41.3815,18,31.98
s5_metering,0.6,7,1560,273.85641025641024,21.78807692307692,1.653205128205128,41.571,9,23.84
s5_metering,0.6,8,1560,269.5211538461538,19.991910256410257,0.2705128205128205,38.82399999999999,7,20.43
s5_metering,0.6,9,1560,269.7352564102564,19.908076923076923,0.31666666666666665,37.574999999999996,9,21.7
s5_metering,0.6,10,1560,272.0070512820513,20.10751282051282,0.20448717948717948,38.4115,3,20.17
s5_metering,0.8,1,2080,272.14903846153845,21.26690384615385,0.2591346153846154,42.36,10,27.86
s5_metering,0.8,2,2080,277.8173076923077,25.84633173076923,4.423557692307693,47.165499999999994,60,26.45
s5_metering,0.8,3,2080,275.30721153846156,23.74104326923077,2.8211538461538463,42.355,36,42.27
s5_metering,0.8,4,2080,274.7870192307692,24.79895192307692,3.5625,44.66199999999999,49,35.65
s5_metering,0.8,5,2080,273.40865384615387,20.96089423076923,0.31298076923076923,41.31999999999999,12,22.98
s5_metering,0.8,6,2080,276.1235576923077,22.778341346153844,1.5057692307692307,42.138999999999996,21,29.3
s5_metering,0.8,7,2080,273.4721153846154,21.13114903846154,0.25625,39.84,4,25.44
s5_metering,0.8,8,2080,273.1360576923077,21.480519230769232,0.21586538461538463,42.1905,9,31.84
s5_metering,0.8,9,2080,271.6826923076923,21.24191826923077,0.2466346153846154,41.0815,7,21.77
s5_metering,0.8,10,2080,275.4644230769231,22.653139423076922,1.7355769230769231,41.683499999999995,16,24.74
s5_metering,1.0,1,2600,276.7938461538462,24.054096153846153,1.468076923076923,46.94049999999999,50,34.9
s5_metering,1.0,2,2600,275.63307692307694,22.696834615384617,0.3726923076923077,45.19,32,85.05
s5_metering,1.0,3,2600,273.2273076923077,22.370653846153846,0.3657692307692308,42.8505,22,38.53
s5_metering,1.0,4,2600,276.0576923076923,25.11536153846154,2.580769230769231,48.90199999999999,58,55.9
s5_metering,1.0,5,2600,272.0623076923077,21.922203846153845,0.3192307692307692,41.817999999999955,18,29.17
s5_metering,1.0,6,2600,276.1003846153846,22.739873076923075,0.3396153846153846,45.22249999999998,19,40.32
s5_metering,1.0,7,2600,276.2253846153846,24.320899999999998,1.9419230769230769,46.63199999999999,35,37.34
s5_metering,1.0,8,2600,277.2103846153846,24.954026923076924,2.359230769230769,47.895999999999965,48,60.43
s5_metering,1.0,9,2600,275.94,25.071073076923078,2.7976923076923077,46.34649999999997,51,64.79
s5_metering,1.0,10,2600,276.04,23.659876923076922,1.24,44.95199999999999,18,75.58
s5_metering,1.2,1,3120,277.2496794871795,25.740814102564105,1.9615384615384615,50.30499999999997,60,36.6
s5_metering,1.2,2,3120,279.325641025641,26.222285256410256,2.4362179487179487,51.85549999999997,80,58.5
s5_metering,1.2,3,3120,277.3182692307692,25.681766025641025,2.1746794871794872,49.930499999999995,62,62.74
s5_metering,1.2,4,3120,277.2125,25.59389743589744,1.9759615384615385,49.73149999999993,73,78.4
s5_metering,1.2,5,3120,290.55641025641023,38.93484935897436,13.212820512820512,150.44999999999902,357,112.0
s5_metering,1.2,6,3120,278.27628205128207,26.444051282051284,2.566666666666667,51.03299999999999,65,100.5
s5_metering,1.2,7,3120,278.0150641025641,26.854846153846154,3.5762820512820515,52.62149999999999,71,60.03
s5_metering,1.2,8,3120,281.96121794871794,29.093096153846155,4.811538461538461,60.01149999999999,105,65.12
s5_metering,1.2,9,3120,279.1599358974359,26.298,2.168269230769231,51.212499999999984,89,53.85
s5_metering,1.2,10,3120,279.47596153846155,27.621903846153845,3.759294871794872,52.892499999999984,128,65.48
s5_metering,1.4,1,3640,278.5412087912088,27.869634615384616,3.20467032967033,53.57149999999999,97,86.41
s5_metering,1.4,2,3640,285.2381868131868,32.55523901098901,7.105769230769231,64.68799999999996,188,89.38
s5_metering,1.4,3,3640,277.2521978021978,26.976645604395607,2.182417582417582,52.15149999999999,106,65.6
s5_metering,1.4,4,3640,283.0557692307692,30.788917582417582,5.059615384615385,62.96199999999999,207,66.52
s5_metering,1.4,5,3640,275.8008241758242,25.098824175824177,0.5167582417582418,50.39199999999999,67,33.98
s5_metering,1.4,6,3640,285.07115384615383,32.705714285714286,6.655769230769231,76.81549999999997,219,119.37
s5_metering,1.4,7,3640,295.96318681318684,44.00664835164835,15.962362637362638,195.37049999999928,483,416.78
s5_metering,1.4,8,3640,278.6824175824176,27.28267857142857,1.960164835164835,53.81399999999998,92,39.1
s5_metering,1.4,9,3640,279.36565934065936,27.781467032967036,2.65521978021978,55.15699999999996,129,80.36
s5_metering,1.4,10,3640,281.51456043956046,30.056225274725275,5.048626373626374,56.53399999999998,97,60.74
