cycle_requested,cycle_s,lambda,seed,mean_timeloss_s,n_collisions,max_queue_length_m
20s,20.0,1.0,1,24.054096153846153,50,34.9
20s,20.0,1.0,2,22.696834615384617,32,85.05
20s,20.0,1.0,3,22.370653846153846,22,38.53
20s,20.0,1.4,1,27.869634615384616,97,86.41
20s,20.0,1.4,2,32.55523901098901,188,89.38
20s,20.0,1.4,3,26.976645604395607,106,65.6
30s,30.0,1.0,1,26.076357692307692,64,77.7
30s,30.0,1.0,2,22.86861153846154,27,76.21
30s,30.0,1.0,3,31.547788461538463,138,125.23
30s,30.0,1.4,1,36.295211538461544,334,192.58
30s,30.0,1.4,2,33.726228021978024,257,124.65
30s,30.0,1.4,3,47.24375549450549,451,179.97
40s,40.0,1.0,1,29.753684615384618,137,112.3
40s,40.0,1.0,2,23.011434615384612,29,80.09
40s,40.0,1.0,3,22.348061538461536,12,32.03
40s,40.0,1.4,1,32.45622802197803,236,118.46
40s,40.0,1.4,2,28.48093956043956,134,40.2
40s,40.0,1.4,3,71.37160164835164,1630,303.58
50s,50.0,1.0,1,31.160592307692305,133,111.83
50s,50.0,1.0,2,31.586407692307695,123,84.31
50s,50.0,1.0,3,22.35921923076923,32,38.0
50s,50.0,1.4,1,31.991788461538466,209,179.56
50s,50.0,1.4,2,31.690019230769234,200,90.45
50s,50.0,1.4,3,39.02819230769231,424,193.89
60s,60.0,1.0,1,33.331096153846154,173,112.09
60s,60.0,1.0,2,27.815803846153845,81,64.68
60s,60.0,1.0,3,24.343711538461537,47,26.36
60s,60.0,1.4,1,29.788401098901097,129,108.12
60s,60.0,1.4,2,29.240043956043955,150,66.06
60s,60.0,1.4,3,33.22378296703297,184,142.94
پیش‌فرض netconvert,90.0,1.0,1,26.309369230769224,73,87.35
پیش‌فرض netconvert,90.0,1.0,2,24.80169230769231,68,41.73
پیش‌فرض netconvert,90.0,1.0,3,25.95700769230769,63,65.25
پیش‌فرض netconvert,90.0,1.4,1,25.994939560439562,67,78.32
پیش‌فرض netconvert,90.0,1.4,2,28.383090659340663,113,107.57
پیش‌فرض netconvert,90.0,1.4,3,33.723791208791205,200,182.69
